"x_NMI","Building","number_of_people","pool","type_of_AC","No_of_AC","Ave.Daily.Usage"
"2",16254,1,1,0,2,1,8.12014285714286
"210",90141,3,5,0,1,1,13.9177107438016
"3",90165,1,2,0,1,1,10.4700523415978
"4",90148,3,6,0,3,3,17.8265702479339
"5",90085,3,2,0,0,0,5.04948767123287
"6",90093,3,4,0,2,3,9.343
"7",90125,2,3,0,2,2,3.49113915857605
"8",90069,2,2,1,2,2,12.6457430939227
"9",90068,2,2,0,2,2,9.85928767123289
"10",14602,3,3,0,2,3,5.22727397260274
"11",90064,2,4,1,1,1,18.5965808219178
"12",14581,2,4,0,2,2,6.80309677419355
"13",90104,2,2,0,2,3,15.0721208791209
"14",90034,3,5,0,2,1,23.2213150684932
"15",85118,1,2,0,2,1,11.0185977961433
"16",12414,3,2,0,2,4,17.1834575342466
"17",90031,2,2,0,2,2,16.0016712328767
"18",90143,1,3,0,2,2,11.5354517906336
"19",90014,2,5,0,2,3,10.4790672268908
"20",90023,2,4,0,2,2,5.01719178082192
"21",90013,3,5,0,2,4,10.3499342465753
"22",90094,3,2,0,2,1,11.8925580110497
"23",90090,3,2,0,0,0,15.6150904109589
"24",13961,1,2,0,2,2,7.89930958904109
"25",19416,2,4,0,2,2,12.9567479452055
"26",90115,3,2,1,2,2,16.1544703196347
"27",90070,3,2,1,1,1,16.5041452054795
"28",90072,3,8,1,1,2,16.4464657534247
"29",90045,2,1,0,2,1,13.1973835616438
"30",90052,3,4,1,1,1,35.8423534246575
"31",14366,2,2,1,1,1,15.0937916666667
"32",90053,2,2,0,2,1,15.1660886699507
"33",90169,3,4,0,2,5,13.3062011019284
"34",90131,3,2,1,2,1,11.4805592286501
"35",90111,3,3,0,1,2,13.836402739726
"36",90029,1,2,0,1,1,7.01540740740741
"37",90144,3,5,1,2,1,26.4588599348534
"38",90033,2,3,0,2,1,12.6944191780822
"39",90024,2,2,0,2,2,5.8773021978022
"40",90088,2,4,0,2,1,11.6244
"41",90076,3,5,0,2,4,7.94306575342466
"42",6657,2,2,0,0,0,9.93472328767124
"43",90162,3,4,0,2,1,12.2835151515152
"44",90010,1,2,0,2,1,5.26817351598173
"45",90030,2,2,0,2,2,7.18973529411765
"46",90028,3,4,1,2,2,14.9288438356164
"47",90018,3,5,0,3,3,20.6595150684932
"48",90020,2,5,0,2,3,21.403504109589
"49",90120,2,2,0,2,1,7.26825205479452
"50",90071,2,5,0,2,3,6.6475641025641
"51",90016,2,4,0,2,1,10.0583369863014
"52",90129,2,2,0,2,1,10.1581597796143
"53",90105,2,2,0,2,1,6.66893424657534
"54",6694,2,3,0,2,1,6.49907352941177
"55",90128,2,4,1,0,0,24.2568139534884
"56",90140,1,3,0,2,1,2.25438461538462
"57",90134,3,4,0,1,1,26.4147520661157
"58",37049,2,2,0,2,1,15.5458794520548
"59",14196,3,6,0,3,2,11.7539230769231
"61",6653,2,6,0,1,1,15.0376328767123
"62",90095,2,1,1,2,2,16.7539561643836
"63",90086,2,4,0,2,2,14.6896574585635
"64",90126,2,3,0,1,2,8.38631404958677
"65",90142,3,5,0,3,3,14.0944615384615
"66",90079,2,3,0,0,0,8.28902903225806
"67",90133,2,4,0,1,1,11.6914060773481
"68",74292,3,5,0,2,5,17.5153168044077
"69",90087,3,4,1,2,5,9.66028219178082
"70",90067,1,1,0,2,1,5.01532602739726
"71",14629,3,2,0,2,3,12.126625
"72",90009,2,2,0,2,1,5.82067123287671
"73",12121,2,3,0,2,1,8.50131578947368
"74",90074,3,4,1,2,2,10.472501369863
"75",90096,2,2,1,2,1,12.6172821917808
"76",23024,3,4,1,1,1,31.2573068493151
"77",90043,2,2,0,1,1,3.88541810344828
"78",90114,2,1,0,2,1,6.05649041095891
"79",90047,3,4,1,2,1,28.5709917808219
"80",90136,3,3,0,1,1,15.33808
"81",90025,2,3,0,1,1,3.5015367965368
"82",90153,3,3,0,0,0,12.7966804407713
"83",90158,1,2,0,1,1,7.91813774104683
"84",90098,1,2,0,1,1,4.34925
"85",90168,3,4,0,1,2,18.5058898071625
"86",90042,2,4,0,1,1,16.8886438356164
"87",90164,3,4,1,2,1,22.038523415978
"88",90116,2,2,1,2,2,13.4728164383562
"89",90102,2,1,0,1,1,6.38998630136986
"90",90084,2,2,1,2,1,28.9571150684932
"91",90160,1,2,0,1,1,5.10747107438016
"92",90073,1,1,0,2,1,6.83010136986302
"93",90046,3,5,1,2,3,17.0353698630137
"94",90154,2,4,0,2,1,6.65719008264463
"95",90112,2,2,0,2,3,16.053695890411
"96",90138,3,5,0,1,1,10.9468898071625
"97",90147,1,3,0,2,4,13.8365782747604
"98",28174,2,5,0,0,0,9.83045604395603
"99",90063,2,2,1,1,1,15.7939577464789
"100",90005,2,3,0,1,1,12.5337911111111
"101",90002,2,5,0,2,1,17.2895796703297
"102",90139,1,3,0,3,2,6.9925
"103",14661,2,1,0,3,1,6.84012857142857
"104",12444,2,2,0,2,2,10.2678421052632
"105",90106,1,1,0,2,1,58.7187849829351
"106",21663,2,2,0,2,3,13.4334904109589
"107",90083,2,4,0,2,2,9.99837254901961
"108",90056,2,3,0,2,3,10.214
"109",90152,1,1,0,2,2,3.62515426997245
"110",90150,1,2,0,2,1,7.77391436464089
"111",90006,1,3,0,1,1,5.99741917808219
"112",90159,1,2,0,2,1,7.78003305785123
"113",90039,2,1,0,2,1,17.433304109589
"114",83660,1,3,0,1,1,6.04120385674931
"115",90135,1,2,0,2,1,4.74485585585585
"116",90171,3,3,1,2,5,17.2965096418733
"117",90146,1,3,0,1,1,15.4523608815427
"118",90151,1,2,0,2,3,3.43917032967033
"119",90060,3,4,0,2,1,7.46055890410959
"120",90058,3,4,0,3,2,9.88595890410959
"121",90167,1,2,0,2,3,8.87909090909092
"122",90027,3,2,1,1,2,18.2958
"123",90137,3,4,0,1,1,10.8549366391185
"124",90097,3,4,1,2,1,18.0730273972603
"125",90057,3,4,1,2,1,17.8436301369863
"126",90038,3,1,0,2,1,10.419985915493
"127",90044,2,3,0,1,1,6.97792054794521
"128",90061,3,6,0,2,2,19.7586082191781
"129",90127,2,5,0,2,1,38.4658622589532
"130",90170,1,1,0,2,1,7.08322865013774
"131",90026,3,5,0,3,2,12.5687009803922
"132",90078,2,1,0,2,1,11.2047698630137
"133",90004,2,2,1,1,2,22.7156428571429
"134",90163,3,2,0,2,2,15.6836776859504
"135",90117,2,2,0,1,1,7.16449589041095
"136",90118,2,1,0,1,1,6.34413150684931
"137",90077,2,2,0,2,2,9.77652602739727
"138",90130,2,2,0,1,2,16.9078512396694
"139",90041,3,2,0,2,3,5.44518082191781
"140",81672,3,3,0,2,3,10.4639806629834
"141",90080,2,2,0,2,1,13.7381808219178
"142",90017,2,4,0,2,1,3.53939423076923
"143",90109,2,3,0,2,1,9.86377260273973
"144",90032,2,2,0,1,1,10.7281863013699
"145",90175,2,5,0,1,1,0.524204545454545
"146",90082,1,1,0,2,1,14.3394958904109
"147",90000,1,1,0,0,0,5.32497534246576
"148",23908,3,2,0,2,2,17.4046923076923
"149",90081,1,1,0,2,1,10.9023917808219
"150",12246,2,5,0,1,2,10.9732684931507
"151",7403,3,4,0,3,2,11.6268821917808
"152",90107,2,4,0,2,1,18.6826657534246
"153",23916,2,5,0,1,1,6.59169478908189
"154",90123,2,4,0,2,2,7.47914520547945
"155",90149,1,4,0,1,1,14.3343590909091
"156",90021,1,3,0,2,2,7.66221505376344
"157",90015,2,4,0,1,1,18.4731150684931
"158",90075,2,2,0,3,2,10.892498630137
"159",90091,3,4,1,2,3,31.647125
"160",90049,3,3,0,2,1,22.3255260273973
"161",90012,2,4,0,2,1,25.8211764705882
"162",90099,2,4,0,0,0,10.2222164948454
"163",90173,3,4,1,2,1,3.28449056603774
"164",90040,3,4,0,1,2,12.0889342465754
"165",90035,3,3,0,1,1,8.80760821917808
"166",90166,2,3,0,2,3,10.7822369146006
"167",90050,2,2,0,2,1,7.859546875
"168",90007,2,2,0,1,1,10.4547859922179
"169",23859,3,2,0,2,4,5.77398356164383
"170",90011,2,3,1,3,3,31.9568730964467
"171",90121,2,4,0,2,3,33.0093424657534
"172",90103,2,1,0,2,2,4.77147422680412
"173",6347,2,5,1,1,1,21.3801835616438
"174",90119,3,2,1,2,3,6.98616438356164
"175",90055,3,5,1,2,1,20.3271890410959
"176",90122,2,3,0,2,2,6.73681643835617
"177",90145,1,2,0,2,1,8.79203581267217
